Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4
Spirochaetia	Class	Bacteria		Spirochaetota	Spirochaetia					5977.3	1.9094542E8	608452.0	1251019.82	3423940.0	1.080093E7	1500886.0	3931650.0	1.552644E7	1422192.5	450040.0	1.590811E7	5060488.0
Coriobacteriia	Class	Bacteria		Actinobacteriota	Coriobacteriia					3.9198706519999996E7	3.16186641991E8	2.3123244998E8	1.7465452022E8	3.903604781E8	8.75362916461E9	1.2574016443028998E8	4.160968651E8	3.946968961E8	1.7831776306E8	3.6638825814E8	4.545653281E8	3.0455268090000004E8
Actinobacteria	Class	Bacteria		Actinobacteriota	Actinobacteria					9.9932653924E8	6.15766212797E8	1.9934577493699998E8	2.1473524518159997E8	1.4614153108E9	7.214686256E8	7.978327574000001E7	6.575487603E8	5.416503051E8	2.224283423E8	5.528056708E8	1.04324014178E9	6.997225805E8
Negativicutes	Class	Bacteria		Firmicutes_C	Negativicutes					4092156.7899999996	7.737626291E7	1.980234538E7	1.74526052E7	4.0716649E7	6.6091325E7	5324096.21	5.6147918E7	9.9957301E7	3.23626848E7	3.619909E7	6.8346125E7	1.6024695E7
Campylobacteria	Class	Bacteria		Campylobacterota	Campylobacteria					94442.0	4232669.62	552852.6	355855.0	1.081402E7	3728444.0	398386.426	3.1492188E7	2.95755948E7	4651500.0	8601667.3	1.23906957E7	4680320.0
Kiritimatiellae	Class	Bacteria		Verrucomicrobiota	Kiritimatiellae					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_A	Class	Bacteria		Firmicutes_A	Clostridia_A					5162999.59	1.5997399773000002E8	4.7716393E7	1.83307719E7	1.73355794E8	1.11113854E8	6.354279368000001E7	1.43711671E8	2.181718169E8	3.63563545E7	7.6866211E7	2.746970183E8	9.622579E7
Fibrobacteria	Class	Bacteria		Fibrobacterota	Fibrobacteria					0.0	4.5523728E7	8688300.0	1040400.0	398620.0	350620.0	656548.1	1319450.0	5306270.0	976149.0	1197917.0	6992370.0	9543960.0
Actinomycetia	Class	Bacteria		Actinobacteriota	Actinomycetia					1324744.15	7408972.0	9098045.3	7144451.56	1.119170223E8	4.027058012E8	3.56768208E7	3.0378935E7	3.1344912E7	2.474338E7	4.430404E7	3.7372546E7	3.4443796E7
Alphaproteobacteria	Class	Bacteria		Proteobacteria	Alphaproteobacteria					3491534.4	2.7156712524E9	2.2816490297E8	6.57983144E7	5.4154573E7	5.5955021E7	4.3031354E7	1.46052874E8	1.55665712E8	4.71167644E7	4.93474655E7	1.52007187E8	1.14036517E8
Desulfovibrionia	Class	Bacteria		Desulfobacterota	Desulfovibrionia					1318136.8	5043366.78	4227636.37	4687705.0	6.7007614E8	1.53267897E8	5709083.640000001	1.2938857E7	2.22112089E7	1.0771514E7	9187735.0	1.568959E7	1.15409E7
Peptococcia	Class	Bacteria		Firmicutes_B	Peptococcia					439952.0	7.990733101E7	6208729.6	194288.0	1.168496E7	6266684.0	3450494.5	6162081.0	7304666.0	7886370.0	4300486.0	2.398399E7	9915353.0
Halobacteria	Class	Archaea		Halobacteriota	Halobacteria					0.0	3.5287	0.0	0.0	978.72	2512.6	0.0	5364121.3	483134.51	1268.7	899.29	4265.3	4370.5
