Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
MGYG000003899_00269	MGYG000003899_00269	1	1	2.96	7.2985E5	0E0	1.4174E4	2.1942E4	2.0421E5	0E0	0E0	2.7692E4	1.2897E5	8.6055E4	2.9623E4	5.3318E4	1.6387E5	0E0				11232
MGYG000002478_03834	MGYG000002478_03834	7	5	2.96	2.8676E7	0E0	4.3377E6	1.0607E6	1.4315E6	2.763E6	2.0734E6	6.0388E5	2.386E6	5.3145E6	2.654E5	1.6103E6	3.9282E6	2.9014E6				11233
MGYG000001456.1_00245	MGYG000001456.1_00245	2	1	2.96	4.0222E6	0E0	0E0	0E0	0E0	1.002E6	0E0	0E0	1.1063E6	0E0	4.4844E5	1.4655E6	0E0	0E0				11234
sp|P15814|IGLL1_HUMAN	sp|P15814|IGLL1_HUMAN	4	2	2.96	9.7956E6	0E0	3.77E5	1.5383E3	0E0	2.1339E6	1.8271E6	7.3653E5	0E0	4.7196E6	0E0	0E0	0E0	0E0				11235
MGYG000002278_00479	MGYG000002278_00479	2	2	2.96	1.3252E7	0E0	8.2215E6	1.7663E6	0E0	2.7084E6	0E0	5.5538E5	0E0	0E0	0E0	0E0	0E0	0E0				11236
MGYG000004140_01342	MGYG000004140_01342	9	2	2.96	1.6724E4	0E0	0E0	0E0	1.5839E1	2.4703E3	3.0291E3	1.1139E3	3.9021E3	0E0	1.0984E3	9.0194E2	3.0418E3	1.1509E3				11237
MGYG000000236_00388	MGYG000000236_00388	20	1	2.96	4.6568E6	0E0	0E0	0E0	4.9214E5	1.1003E6	4.3428E5	9.9018E4	5.1081E5	5.1205E5	2.4898E5	0E0	1.2592E6	0E0				11238
MGYG000000262_02023	MGYG000000262_02023	6	6	2.96	3.6653E6	4.82E4	2.4361E5	1.1161E5	2.4096E5	3.7351E5	5.0874E5	4.4868E4	0E0	2.3763E5	1.0816E6	8.0006E4	3.4829E5	3.4623E5				11239
MGYG000004345_00864	MGYG000004345_00864	7	7	2.96	8.2834E6	1.1446E5	4.0447E5	1.4373E5	5.1781E4	6.5747E5	1.4928E6	2.6652E4	1.6047E6	5.2218E5	3.6674E5	2.0268E5	2.1353E6	5.6046E5				11240
MGYG000002138_00311	MGYG000002138_00311	2	1	2.96	9.5603E5	3.6749E4	0E0	0E0	0E0	6.6035E5	0E0	0E0	1.1146E5	0E0	0E0	0E0	1.4748E5	0E0				11241
MGYG000002545_01509	MGYG000002545_01509	6	6	2.96	1.9959E7	0E0	2.0224E6	8.5322E5	7.6504E5	1.9934E6	0E0	1.5713E5	2.3018E6	4.5429E6	2.0224E6	0E0	2.154E6	3.1463E6				11242
MGYG000000201_03527	MGYG000000201_03527	4	2	2.96	3.0392E7	0E0	2.7372E7	1.3094E6	0E0	0E0	0E0	1.7108E6	0E0	0E0	0E0	0E0	0E0	0E0				11243
MGYG000000038_00021	MGYG000000038_00021	7	1	2.96	3.221E5	0E0	0E0	0E0	0E0	0E0	0E0	3.2826E4	0E0	2.8928E5	0E0	0E0	0E0	0E0				11244
MGYG000002492_00049	MGYG000002492_00049	3	1	2.96	2.1317E6	0E0	3.4476E4	2.5317E5	1.033E5	1.8287E5	4.992E4	2.5255E4	3.4285E5	1.6522E5	1.717E5	1.5977E5	5.6192E5	8.1201E4				11245
MGYG000000045_02247	MGYG000000045_02247	3	3	2.96	1.0261E7	0E0	5.5096E6	1.1908E6	1.9872E6	0E0	0E0	0E0	0E0	0E0	1.5738E6	0E0	0E0	0E0				11246
MGYG000002492_02329	MGYG000002492_02329	12	4	2.96	6.3294E5	1.9142E3	2.344E5	2.267E4	4.911E3	3.7181E4	3.7962E4	1.1251E4	5.6858E4	5.1338E4	3.499E4	5.8968E4	6.7836E4	1.2667E4				11247
MGYG000002008_01299	MGYG000002008_01299	3	1	2.96	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11248
MGYG000002478_04055	MGYG000002478_04055	1	1	2.96	6.2311E6	0E0	0E0	0E0	1.5789E6	0E0	0E0	0E0	0E0	1.3763E6	0E0	0E0	1.3759E6	1.9001E6				11249
MGYG000002321_01206	MGYG000002321_01206	4	1	2.96	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11250
MGYG000002492_02107	MGYG000002492_02107	3	2	2.96	2.5751E7	0E0	1.6358E7	0E0	1.1641E6	0E0	0E0	2.9518E6	0E0	0E0	0E0	0E0	5.2775E6	0E0				11251
MGYG000000193_01772	MGYG000000193_01772	2	1	2.95	1.6895E6	1.0956E6	5.9386E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11252
MGYG000002602_00888	MGYG000002602_00888	4	3	2.95	1.0419E6	0E0	0E0	0E0	0E0	0E0	0E0	4.0809E3	1.6728E5	1.2736E5	4.9355E4	1.0337E5	2.2808E5	3.6233E5				11253
MGYG000002670_00043	MGYG000002670_00043	3	2	2.95	2.4729E6	0E0	0E0	4.795E5	0E0	1.796E6	0E0	6.9347E4	0E0	0E0	1.2801E5	0E0	0E0	0E0				11254
sp|P11142|HSP7C_HUMAN	sp|P11142|HSP7C_HUMAN	8	2	2.95	1.7089E6	0E0	0E0	0E0	6.2605E4	0E0	1.7192E5	1.0283E5	2.7781E5	2.9088E5	1.6455E5	2.9152E5	3.4675E5	0E0				11255
MGYG000001338_00255	MGYG000001338_00255	2	2	2.95	2.9631E5	0E0	9.5372E3	4.9692E4	0E0	0E0	2.3708E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11256
MGYG000002090_00971	MGYG000002090_00971	1	1	2.95	9.8242E5	0E0	0E0	0E0	4.0266E5	5.6492E5	0E0	1.4837E4	0E0	0E0	0E0	0E0	0E0	0E0				11257
MGYG000000171_01878	MGYG000000171_01878	9	1	2.95	1.1601E6	0E0	0E0	7.3212E4	9.8731E4	0E0	6.5949E5	3.2869E5	0E0	0E0	0E0	0E0	0E0	0E0				11258
MGYG000000193_00772	MGYG000000193_00772	1	1	2.95	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11259
MGYG000000105_02928	MGYG000000105_02928	1	1	2.95	4.836E5	0E0	0E0	0E0	0E0	0E0	0E0	3.3727E4	0E0	6.0849E4	0E0	0E0	1.9896E5	1.9007E5				11260
MGYG000002557_01257	MGYG000002557_01257	3	1	2.95	2.7546E7	0E0	0E0	0E0	0E0	6.0429E5	4.2825E5	4.0901E4	1.0002E7	1.0578E6	3.2729E6	0E0	1.214E7	0E0				11261
sp|P62330|ARF6_HUMAN	sp|P62330|ARF6_HUMAN	1	1	2.95	2.1049E6	1.5283E5	0E0	0E0	1.6399E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	3.1226E5	0E0				11262
MGYG000002545_00761	MGYG000002545_00761	7	5	2.95	4.8861E6	0E0	4.3684E5	8.7986E5	0E0	0E0	3.5694E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11263
MGYG000000201_03992	MGYG000000201_03992	2	2	2.95	9.9794E6	0E0	2.0543E6	5.7274E5	1.9748E5	0E0	0E0	7.8682E5	8.4468E5	9.3127E5	0E0	0E0	1.8311E6	2.7611E6				11264
MGYG000003937_01877	MGYG000003937_01877	2	2	2.95	2.4202E6	1.6169E4	1.4971E4	3.4074E4	2.2036E4	1.8423E5	5.1658E4	4.451E3	3.7091E5	1.3203E5	1.1697E5	3.0208E5	8.2833E5	3.4229E5				11265
